word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24
paves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098231827,0,0,0
public,0.013368984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020766201,0,0.0078277886,0,0,0,0,0
private,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01217329,0,0,0,0,0,0,0
ector,0.0013368984,0,0,0,0,0.0034722222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
involvement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098231827,0,0,0
reactors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029469548,0,0,0
bsrs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00035803795,0,0,0,0,0,0,0
repurposed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098231827,0,0,0
phwr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098231827,0,0,0
deployment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098231827,0.0017746229,0,0
industrial,0.0006684492,0,0.0027834008,0,0,0,0,0,0,0,0,0,0,0.0023255814,0,0,0,0,0,0.01369863,0,0,0,0.0093023256,0
hubs,0,0,0,0,0,0,0,0,0,0,0,0.0020183898,0,0,0,0,0,0,0,0,0,0,0,0,0
deep,0,0,0,0,0,0,0,0,0.0033482143,0,0,0,0,0.0058139535,0,0,0,0,0,0,0,0.0029469548,0,0,0
modular,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098231827,0,0,0
smrs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019646365,0,0,0
dedicated,0,0,0,0,0,0,0,0,0,0,0,0.0065037004,0,0,0,0,0,0,0,0,0.0077177508,0,0,0,0
crore,0,0,0,0,0,0,0,0,0,0,0,0.0087463557,0,0,0,0,0,0,0,0,0,0,0,0,0
develop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017901898,0,0,0,0,0,0,0
indigenously,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099403579,0,0,0.00098231827,0.00088731145,0,0
flagship,0,0,0,0,0,0,0,0,0,0,0,0.016147118,0,0,0,0,0,0,0,0,0,0,0,0,0
schemes,0,0,0,0,0,0,0,0,0,0,0,0.016595649,0,0,0,0,0,0,0,0,0,0,0,0,0
