Source,Target,Weight,Type
38,16,0.28154632,undirected
38,17,0.057622174,undirected
38,18,0.0007293946,undirected
38,22,0.134938,undirected
38,23,0.0029175784,undirected
39,0,0.021594684,undirected
39,2,0.085548173,undirected
39,3,0.0033222591,undirected
39,5,0.00083056478,undirected
39,6,0.0074750831,undirected
39,9,0.0066445183,undirected
39,11,0.066445183,undirected
39,14,0.0099667774,undirected
39,15,0.30481728,undirected
39,16,0.024086379,undirected
39,17,0.088870432,undirected
39,18,0.0074750831,undirected
39,20,0.0041528239,undirected
39,22,0.034883721,undirected
40,0,0.029895366,undirected
40,2,0.049327354,undirected
40,6,0.0074738416,undirected
40,8,0.0074738416,undirected
40,10,0.011958146,undirected
40,11,0.14499253,undirected
40,13,0.0029895366,undirected
40,14,0.0029895366,undirected
40,17,0.022421525,undirected
40,21,0.35575486,undirected
40,23,0.010463378,undirected
41,0,0.011976048,undirected
41,1,0.001497006,undirected
41,2,0.053892216,undirected
41,5,0.026946108,undirected
41,7,0.001497006,undirected
41,9,0.34580838,undirected
41,11,0.13173653,undirected
41,12,0.01497006,undirected
41,14,0.01497006,undirected
41,17,0.031437126,undirected
41,18,0.002994012,undirected
42,0,0.004,undirected
42,1,0.01,undirected
42,2,0.075,undirected
42,3,0.291,undirected
42,6,0.001,undirected
42,9,0.01,undirected
42,10,0.067,undirected
42,11,0.088,undirected
42,15,0.003,undirected
42,17,0.074,undirected
42,20,0.019,undirected
42,24,0.002,undirected
43,2,0.083333333,undirected
43,3,0.00083333333,undirected
43,4,0.0033333333,undirected
43,7,0.00083333333,undirected
43,8,0.0091666667,undirected
43,9,0.014166667,undirected
43,10,0.025,undirected
43,11,0.07,undirected
43,12,0.39333333,undirected
43,15,0.00083333333,undirected
43,17,0.055,undirected
43,22,0.0083333333,undirected
44,1,0.34834325,undirected
44,2,0.079864061,undirected
44,5,0.0016992353,undirected
44,6,0.032285472,undirected
44,10,0.0033984707,undirected
44,11,0.048428207,undirected
44,12,0.00084961767,undirected
44,13,0.0016992353,undirected
44,17,0.090909091,undirected
44,22,0.0042480884,undirected
45,0,0.029965753,undirected
45,2,0.09760274,undirected
45,3,0.025684932,undirected
45,4,0.0085616438,undirected
45,5,0.023972603,undirected
45,6,0.00085616438,undirected
45,9,0.016267123,undirected
45,11,0.059075342,undirected
45,16,0.011986301,undirected
45,17,0.093321918,undirected
45,19,0.0025684932,undirected
45,21,0.26027397,undirected
45,22,0.0094178082,undirected
45,23,0.017123288,undirected
46,2,0.081771721,undirected
46,4,0.02044293,undirected
46,5,0.35434412,undirected
46,7,0.018739353,undirected
46,8,0.0017035775,undirected
46,11,0.052810903,undirected
46,13,0.0017035775,undirected
46,17,0.051107325,undirected
46,18,0.010221465,undirected
46,22,0.0017035775,undirected
47,1,0.00088105727,undirected
47,2,0.068722467,undirected
47,3,0.0044052863,undirected
47,4,0.0061674009,undirected
47,5,0.012334802,undirected
47,6,0.024669604,undirected
47,11,0.072246696,undirected
47,14,0.00088105727,undirected
47,16,0.29162996,undirected
47,17,0.1092511,undirected
47,18,0.0079295154,undirected
47,19,0.0026431718,undirected
47,23,0.030837004,undirected
47,24,0.010572687,undirected
